"state","State_name","Population","date","category","count","grade"
"PA","Pennsylvania ",12801989,2020-04-16,"posNeg",141470,"A"
"PR","Puerto Rico ",2933408,2020-04-16,"posNeg",8358,"A"
"RI","Rhode Island *",1059361,2020-04-16,"posNeg",28064,"B"
"SC","South Carolina *",5148714,2020-04-16,"posNeg",34733,"B"
"SD","South Dakota ",884659,2020-04-16,"posNeg",10550,"A"
"TN","Tennessee ",6829174,2020-04-16,"posNeg",85049,"A"
"TX","Texas ",28995881,2020-04-16,"posNeg",158547,"A"
"UT","Utah ",3205958,2020-04-16,"posNeg",49678,"A"
"VA","Virginia ",8535519,2020-04-16,"posNeg",46444,"A"
"VT","Vermont ",623989,2020-04-16,"posNeg",11507,"A"
"WI","Wisconsin ",5822434,2020-04-16,"posNeg",44849,"A"
"WV","West Virginia *",1792147,2020-04-16,"posNeg",18306,"B"
"WY","Wyoming ",578759,2020-04-16,"posNeg",6427,"A"
"AK","Alaska ",731545,2020-04-15,"posNeg",8664,"A"
"AL","Alabama *",4903185,2020-04-15,"posNeg",34077,"B"
"AR","Arkansas ",3017804,2020-04-15,"posNeg",21834,"A"
"AZ","Arizona *",7278717,2020-04-15,"posNeg",45310,"B"
"CA","California *",39512223,2020-04-15,"posNeg",216486,"B"
"CO","Colorado ",5758736,2020-04-15,"posNeg",39580,"A"
"CT","Connecticut ",3565287,2020-04-15,"posNeg",50143,"A"
"DC","District of Columbia ",705749,2020-04-15,"posNeg",11525,"A"
"DE","Delaware ",973764,2020-04-15,"posNeg",13102,"A"
"FL","Florida ",21477737,2020-04-15,"posNeg",213509,"A"
"GA","Georgia ",10617423,2020-04-15,"posNeg",64090,"A"
"HI","Hawaii ",1415872,2020-04-15,"posNeg",19803,"A"
"IA","Iowa ",3155070,2020-04-15,"posNeg",19869,"A"
"ID","Idaho ",1787065,2020-04-15,"posNeg",15398,"A"
"IL","Illinois ",16980127,2020-04-15,"posNeg",116929,"A"
"IN","Indiana *",6732219,2020-04-15,"posNeg",48396,"B"
"KS","Kansas *",2913314,2020-04-15,"posNeg",14668,"B"
"KY","Kentucky ",4467673,2020-04-15,"posNeg",27697,"A"
"LA","Louisiana ",4648794,2020-04-15,"posNeg",121928,"A"
"MA","Massachusetts *",6892503,2020-04-15,"posNeg",132023,"B"
"MD","Maryland ",6045680,2020-04-15,"posNeg",55763,"A"
"ME","Maine ",1344212,2020-04-15,"posNeg",14846,"A"
"MI","Michigan *",9986857,2020-04-15,"posNeg",89697,"B"
